Team_id,Team,Season,PP%,PK%,S%,SV%,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,Playoffs,PTS/82
50,New York Rangers,17-18,21.16,81.38,9,0.909,2.28,2.74,29.49,35.41,39.93,47.89,52.2,63.45,2.55,2.85,0,77
51,Ottawa Senators,17-18,16.53,76.17,8.7,0.895,2.33,3.01,29.23,32.96,40.37,45.7,54.29,62.99,2.18,2.56,0,67
52,Philadelphia Flyers*,17-18,20.69,75.78,9.5,0.904,2.44,2.28,30.25,29.25,41.3,41.44,54.93,56.15,2.37,2.37,1,98
53,Pittsburgh Penguins*,17-18,26.15,80,9.6,0.903,2.58,2.68,34.02,30.17,46.07,40.96,60.36,55.42,2.73,2.47,1,100
54,San Jose Sharks*,17-18,20.62,84.82,9.1,0.909,2.37,2.54,31.26,29.15,44.33,40.91,60.86,57.81,2.55,2.4,1,100
55,St. Louis Blues,17-18,15.45,79.65,8.3,0.909,2.42,2.19,31.9,29.05,43.95,39.07,59.07,54.77,2.33,2.14,0,94
56,Tampa Bay Lightning*,17-18,23.91,76.03,10.8,0.913,3.1,2.33,32.78,31.31,45.63,41.6,60.64,54.71,2.56,2.2,1,113
57,Toronto Maple Leafs*,17-18,25,81.39,10.2,0.917,2.78,2.38,31.18,32.58,43.87,45.32,59.74,58.38,2.67,2.59,1,105
58,Vancouver Canucks,17-18,21.46,78.26,8.8,0.902,2.12,2.54,28.72,31.93,39.46,44.19,52.07,58.51,2.15,2.52,0,73
59,Vegas Golden Knights*,17-18,21.37,81.43,10,0.911,2.73,2.37,31.97,29.74,44.25,41.62,59.6,55.46,2.47,2.38,1,109
60,Washington Capitals*,17-18,22.54,80.3,10.8,0.909,2.63,2.37,28.08,30.54,40.38,44.28,54.88,58.61,2.36,2.62,1,105
61,Winnipeg Jets*,17-18,23.36,81.75,10.3,0.917,2.76,2.28,32.11,29.41,44.68,40.52,59.89,54.32,2.54,2.23,1,114
62,Anaheim Ducks*,16-17,18.73,84.7,9.1,0.919,2.3,2.12,29,28.2,41.01,40.64,54.2,54.48,2.49,2.27,1,105
63,Arizona Coyotes,16-17,16.17,77.31,8.4,0.908,2.03,2.57,27.42,33.64,38.67,48.35,51.45,62.79,2.02,2.8,0,70
64,Boston Bruins*,16-17,21.72,85.71,8.5,0.905,2.26,2.31,32.41,26.17,45.4,36.7,60.04,49.74,2.43,2.01,1,95
65,Buffalo Sabres,16-17,24.46,77.64,8,0.918,1.9,2.37,29.35,32.68,39.94,44.38,52.02,57.83,2.11,2.32,0,78
66,Calgary Flames*,16-17,20.16,81.59,9.3,0.907,2.28,2.24,28.6,27.87,39.36,39.22,53.72,52.71,2.19,2.3,1,94
67,Carolina Hurricanes,16-17,17.75,84.16,8.5,0.901,2.15,2.58,29.22,28.86,41.31,40.71,56.25,53.72,2.52,2.45,0,87
68,Chicago Blackhawks*,16-17,18.03,77.73,9.6,0.918,2.52,2.12,29.95,30.44,40.21,40.41,55.79,55.04,2.39,2.44,1,109
69,Colorado Avalanche,16-17,12.55,76.64,7.2,0.894,1.82,2.91,27.62,31.62,38.64,42.49,52.43,55.54,1.9,2.32,0,48
70,Columbus Blue Jackets*,16-17,19.91,82.51,9.7,0.922,2.65,2,31.22,29.39,41.95,40.75,56.06,54.83,2.54,2.43,1,108
71,Dallas Stars,16-17,17.9,73.9,8.9,0.893,2.27,2.49,29.76,29.09,42.43,41.71,58.04,58.02,2.48,2.59,0,79
72,Detroit Red Wings,16-17,15.08,80.85,8.5,0.903,2.18,2.57,27.81,29.7,38.59,41.29,50.26,53.81,2.2,2.41,0,79
73,Edmonton Oilers*,16-17,22.86,80.72,9.5,0.914,2.49,2.11,30.08,28.63,41.12,39.26,54.94,54.57,2.59,2.44,1,103
74,Florida Panthers,16-17,16.98,85.31,7.8,0.911,2.08,2.54,30.43,31.38,41.68,41.42,53.94,52.86,2.18,2.39,0,81
75,Los Angeles Kings,16-17,19.09,84.49,7.8,0.905,2.04,2.1,30.6,25.38,44.14,36.49,59.83,49.17,2.46,2.16,0,86
76,Minnesota Wild*,16-17,20.98,82.95,10.4,0.916,2.76,2.27,30.24,29.6,41.19,41.22,54.1,55.4,2.41,1.91,1,106
77,Montreal Canadiens*,16-17,19.57,81.12,9.1,0.918,2.37,1.98,30.62,28.83,42.53,38.73,58.8,53.3,2.46,2.22,1,103
78,Nashville Predators*,16-17,18.92,80.91,9.3,0.911,2.42,2.2,30.94,29.38,42.68,41.31,57.54,54.89,2.32,2.17,1,94
79,New Jersey Devils,16-17,17.53,79.69,7.9,0.906,1.8,2.33,27.39,30.62,37.72,41.5,48.67,53.89,2.14,2.38,0,70
80,New York Islanders,16-17,14.96,82.38,9.6,0.909,2.7,2.58,29.8,31.14,40.45,43.96,54.89,60.26,2.49,2.66,0,94
81,New York Rangers*,16-17,20.26,79.91,10.4,0.912,2.57,2.27,28.52,29.85,40.12,41.76,52.86,57.02,2.45,2.51,1,102
82,Ottawa Senators*,16-17,16.93,79.76,8.4,0.915,2.05,2.2,29.56,29.39,40.15,41.92,54.8,58,2.22,2.31,1,98
83,Philadelphia Flyers,16-17,19.49,79.76,8.2,0.901,2.01,2.33,29.56,28.17,41.51,38.94,57.71,54.86,2.3,2.3,0,88
84,Pittsburgh Penguins*,16-17,23.08,79.77,10.1,0.914,2.88,2.34,32.96,31.37,43.6,41.87,57.7,57.76,2.82,2.57,1,111
85,San Jose Sharks*,16-17,16.67,80.66,8.9,0.912,2.32,2.07,28.93,26.82,42.02,38.68,58,55.24,2.46,2.26,1,99
86,St. Louis Blues*,16-17,21.28,84.79,10,0.907,2.38,2.21,28.11,27.62,38.92,38.22,52.12,51.83,2.13,2.08,1,99
87,Tampa Bay Lightning,16-17,22.79,81.4,9.4,0.91,2.21,2.27,29.08,29.43,41.42,40.4,55.11,52.34,2.25,2.16,0,94
88,Toronto Maple Leafs*,16-17,23.36,82.47,9.6,0.912,2.59,2.47,30.83,31.52,44.68,44.92,59.79,58.56,2.77,2.64,1,95
89,Vancouver Canucks,16-17,14.1,76.68,7.8,0.907,1.93,2.4,27.19,31.03,37.06,42.12,50.49,54.81,2.07,2.48,0,69
90,Washington Capitals*,16-17,22.98,83.82,10.5,0.922,2.74,1.78,29.73,27.64,41.3,39.22,55.89,52.14,2.35,2.28,1,118
91,Winnipeg Jets,16-17,18.18,77.45,10,0.9,2.52,2.53,28.68,30.01,39.4,40.4,52.29,53.98,2.41,2.3,0,87
92,Anaheim Ducks*,15-16,22.86,87.24,8.7,0.917,2.03,2.08,29.56,26.57,42.36,37.37,56.3,51.09,2.38,2.1,1,103
93,Arizona Coyotes,15-16,17.67,77.3,9.2,0.904,2.11,2.28,26.83,30.72,38.02,44.21,51.4,58.35,2.01,2.31,0,78
94,Boston Bruins,15-16,20.51,82.22,9,0.908,2.42,2.35,31.21,30.18,41.73,42.31,55.04,56.04,2.17,2.23,0,93
95,Buffalo Sabres,15-16,18.9,82.57,8.2,0.914,1.84,2.26,27.78,29.95,37.77,41.93,49.97,55.2,1.97,2.16,0,81
96,Calgary Flames,15-16,17.04,75.64,9.5,0.892,2.37,2.55,28.24,28.6,38.73,40.88,53.26,57.19,2.26,2.34,0,77
97,Carolina Hurricanes,15-16,16.81,84.31,8,0.902,2.01,2.43,28.57,27.6,40.67,39.64,54.65,51.79,2.41,2.44,0,86
98,Chicago Blackhawks*,15-16,22.62,80.26,9.4,0.918,2.14,2.17,29.99,29.81,40.23,40.16,55.4,54.14,2.24,2.37,1,103
99,Colorado Avalanche,15-16,18.05,80.23,9,0.909,2.12,2.35,27.41,32.05,37.11,45,49.11,62.21,1.92,2.48,0,82
100,Columbus Blue Jackets,15-16,17.34,81,8.9,0.903,2.22,2.46,28.74,29.95,39.2,41.44,52.58,56.69,2.58,2.47,0,76
101,Dallas Stars*,15-16,22.14,82.26,10.1,0.904,2.54,2.41,31.28,28.36,45.09,40.97,61.3,55.5,2.68,2.43,1,109
102,Detroit Red Wings*,15-16,18.8,81.55,8.6,0.91,2.09,2.19,28.98,29.06,40.05,39.29,52.96,48.98,2.35,2.31,1,93
103,Edmonton Oilers,15-16,18.14,80.71,8.3,0.905,2.07,2.58,28.62,30.21,39.44,42.06,54.34,56.76,2.37,2.47,0,70
104,Florida Panthers*,15-16,16.91,79.48,9.8,0.917,2.47,1.92,28.12,28.48,38.12,39.38,48.42,50.43,2.12,2.13,1,103
105,Los Angeles Kings*,15-16,20,81.4,8.5,0.915,2.3,1.87,31.82,26.08,46.87,36.37,62.54,48.06,2.54,2.12,1,102
106,Minnesota Wild*,15-16,18.53,77.94,9,0.913,2.07,2.02,27.26,28.03,37.86,40.38,50.23,55.29,2.07,2.07,1,87
107,Montreal Canadiens,15-16,16.22,81.89,8.6,0.903,2.28,2.37,30.19,28.66,41,39.12,56.48,53.39,2.29,2.25,0,82
108,Nashville Predators*,15-16,19.69,81.22,8.9,0.905,2.15,2.21,29.52,26.85,41.5,36.41,55.77,50.97,2.18,1.97,1,96
109,New Jersey Devils,15-16,19.92,82.95,9.1,0.914,1.72,2.02,23.48,27.34,32.65,37.02,42.33,49.49,1.94,2.14,0,84
110,New York Islanders*,15-16,18.78,84.48,9.4,0.915,2.36,2.21,28.42,29.61,39.98,40.67,55.02,56.41,2.43,2.53,1,100
111,New York Rangers*,15-16,18.58,78.19,10,0.914,2.43,2.01,27.15,29.58,38.28,41.77,51.41,57.27,2.32,2.58,1,101
112,Ottawa Senators,15-16,15.9,75.89,9.9,0.91,2.34,2.22,27.69,31.8,38.43,43.46,52.89,58,2.22,2.42,0,85
113,Philadelphia Flyers*,15-16,18.93,80.53,8.3,0.917,2.09,2,29.44,30.32,41.29,40.69,57.6,56.37,2.29,2.38,1,96
114,Pittsburgh Penguins*,15-16,18.39,84.44,8.9,0.918,2.5,2.07,32.6,28.66,43.67,38.68,58.24,51.9,2.61,2.06,1,104
115,San Jose Sharks*,15-16,22.55,80.51,9.5,0.908,2.26,2.01,29.05,26.14,40.97,36.37,55.46,52.04,2.45,1.97,1,98
116,St. Louis Blues*,15-16,21.52,85.14,8.9,0.919,2.21,1.91,30.63,27.94,41.88,38.13,55.74,51.44,2.37,2.19,1,107
117,Tampa Bay Lightning*,15-16,15.77,84.05,9.3,0.916,2.35,1.99,29.2,27.98,41.14,39.03,55.33,51.14,2.1,2.01,1,97
118,Toronto Maple Leafs,15-16,15.44,81.62,7.6,0.904,1.87,2.53,29.44,30.98,43.1,43.47,58.6,55.83,2.32,2.33,0,69
119,Vancouver Canucks,15-16,15.79,81.12,8,0.91,1.88,2.38,27.37,31.3,37.25,42.89,49.67,55.7,2.03,2.6,0,75
120,Washington Capitals*,15-16,21.91,85.16,9.9,0.918,2.55,2.01,30.01,27.41,41.34,38.95,56.13,53.72,2.34,2.15,1,120
121,Winnipeg Jets,15-16,14.79,78.37,8.7,0.903,2.26,2.22,29.54,28.06,40.9,38.72,55.23,52.11,2.41,2.36,0,78
122,Anaheim Ducks*,14-15,15.68,81.02,9.3,0.907,2.47,2.22,28.93,27.93,42.29,39.7,55.97,53.33,2.36,2.2,1,109
123,Arizona Coyotes,14-15,20,76.7,6.9,0.902,1.59,2.66,27.71,32,39.25,44.75,53.53,59.78,1.98,2.44,0,56
124,Boston Bruins,14-15,17.84,81.97,8.2,0.918,2.16,2.05,30.04,28.57,41.39,39.34,56.34,51.38,2.16,1.99,0,96
125,Buffalo Sabres,14-15,13.39,75.1,7.7,0.908,1.62,2.61,22.74,35.65,30.33,49.9,39.14,68.53,1.69,2.63,0,54
126,Calgary Flames*,14-15,18.82,80.65,10.5,0.911,2.34,2.35,25.38,29.71,35.69,42.74,49.63,62.91,2.04,2.35,1,97
127,Carolina Hurricanes,14-15,18.75,84.74,7.3,0.902,1.82,2.44,29.5,27.45,41.39,39.41,55.31,52.79,2.32,2.35,0,71
128,Chicago Blackhawks*,14-15,17.69,83.41,7.9,0.925,2.25,1.92,33.15,29.69,44.16,39.07,60.79,51.71,2.4,2.28,1,102
129,Colorado Avalanche,14-15,14.98,84.65,9.1,0.918,2.25,2.44,26.74,32.45,35.42,45.44,47.38,62.66,1.88,2.54,0,90
130,Columbus Blue Jackets,14-15,21.72,80.2,9.6,0.91,2.25,2.54,27.98,32.14,37.84,43.39,49.67,56.55,2.11,2.35,0,89
131,Dallas Stars,14-15,18.97,80.71,10,0.895,2.72,2.7,31.03,29.15,45.48,41.22,61.77,56.2,2.65,2.39,0,92
132,Detroit Red Wings*,14-15,23.81,80.9,9.5,0.909,2.12,1.97,28.25,26.5,39,35.53,52.87,45.59,2.15,2,1,100
133,Edmonton Oilers,14-15,17.67,76.71,8.3,0.888,1.91,2.93,26.93,30.15,37.75,42.9,51.74,58,2.05,2.61,0,62
134,Florida Panthers,14-15,16.26,80,7.9,0.912,2.09,2.13,29.91,28.22,40.54,39.23,53.27,51.05,2.15,2,0,91
135,Los Angeles Kings,14-15,19.03,80.93,8.6,0.911,2.29,1.93,30.9,25.64,44.38,36.6,59.75,47.51,2.38,2.03,0,95
136,Minnesota Wild*,14-15,15.85,86.32,9,0.913,2.51,2.28,29.85,27.27,41.35,38.05,54.95,52.67,2.27,1.9,1,100
137,Montreal Canadiens*,14-15,16.53,83.66,9.2,0.926,2.24,1.88,27.97,29.32,38.75,40.49,53.96,57.33,2.18,2.28,1,110
138,Nashville Predators*,14-15,16.22,80.77,8.6,0.913,2.54,1.9,31.49,27.65,43.64,38.33,59.02,52.3,2.3,1.94,1,104
139,New Jersey Devils,14-15,19.34,80.6,8.8,0.917,1.73,1.93,24.38,29.07,33.68,38.97,44.95,50.85,1.96,2.16,0,78
140,New York Islanders*,14-15,18.73,77.88,8.8,0.903,2.52,2.31,32.74,27.6,45.43,38.16,61.81,54.24,2.96,2.43,1,101
141,New York Rangers*,14-15,16.81,84.26,9.6,0.923,2.71,2,30.8,29.08,41.57,41.1,55.57,54.5,2.52,2.41,1,113
142,Ottawa Senators*,14-15,16.79,82.88,9.1,0.921,2.35,2.27,29.45,31.47,40.47,42.2,55.85,54.67,2.33,2.22,1,99
143,Philadelphia Flyers,14-15,23.44,77.07,8.8,0.91,1.99,2.1,27.67,29.57,38.56,40.89,53.37,55.87,2.06,2.26,0,84
144,Pittsburgh Penguins*,14-15,19.29,84.84,8.4,0.915,2.28,2.08,31.21,27.01,42.49,36.44,57.31,49.11,2.32,2.07,1,98
145,San Jose Sharks,14-15,21.65,78.48,8.6,0.907,2.1,2.33,29.78,28.95,42.83,40.78,59.59,56.2,2.43,2.3,0,89
146,St. Louis Blues*,14-15,22.31,83.66,9.4,0.912,2.48,2.03,30.37,26.39,42.46,36.69,55.86,50.52,2.35,2,1,109
147,Tampa Bay Lightning*,14-15,18.79,83.66,10.7,0.91,2.74,2.1,30.83,26.09,42.06,36.55,56.5,49.03,2.36,1.97,1,108
148,Toronto Maple Leafs,14-15,15.9,80.45,8.6,0.906,2.09,2.67,27.57,33.17,38.61,46.68,51.02,61.63,2.08,2.63,0,68
149,Vancouver Canucks*,14-15,19.33,85.71,9.6,0.91,2.34,2.41,29.26,29.21,40.09,40.05,53.07,54.72,2.15,2.39,1,101
150,Washington Capitals*,14-15,25.32,81.2,9.8,0.916,2.36,1.99,28.45,26.68,40.65,37.23,56.26,51.77,2.27,1.99,1,101
151,Winnipeg Jets*,14-15,17.84,81.82,9.1,0.913,2.32,1.98,29.69,26.8,41.59,37.02,57.15,49.43,2.5,2.24,1,99
152,Anaheim Ducks*,13-14,16,82.22,10.2,0.914,2.98,2.07,30.53,27.9,42.26,40.6,55.65,54.4,2.52,2.3,1,116
153,Boston Bruins*,13-14,21.74,83.65,9.9,0.928,2.66,1.62,31.96,27.36,44.29,37.07,59.92,48.76,2.31,1.92,1,117
154,Buffalo Sabres,13-14,14.06,81.39,7,0.914,1.46,2.57,24.73,34.26,33.64,47.48,44.89,63.61,1.82,2.55,0,52
155,Calgary Flames,13-14,15.66,81.7,9.2,0.899,2.1,2.61,25.84,28.66,36.46,40.53,49.46,58.57,1.97,2.32,0,77
156,Carolina Hurricanes,13-14,14.59,81.74,8,0.911,2.08,2.35,30.3,30.97,42.79,43.88,57.83,57.94,2.43,2.54,0,83
157,Chicago Blackhawks*,13-14,19.46,81.45,9.6,0.905,2.75,2.22,32.83,25.67,43.66,34.43,59.29,46.29,2.49,1.96,1,107
158,Colorado Avalanche*,13-14,19.84,80.72,10.1,0.919,2.56,2.23,28.77,31.33,38.96,44.07,52.32,58.41,2.14,2.42,1,112
159,Columbus Blue Jackets*,13-14,19.29,82.14,9.3,0.915,2.28,2.17,29.09,29.13,39.61,38.74,53.19,51.67,2.07,1.92,1,93
160,Dallas Stars*,13-14,15.86,81.37,8.9,0.911,2.44,2.33,30.23,29.2,43.1,41.59,57.76,56.22,2.47,2.46,1,91
161,Detroit Red Wings*,13-14,17.73,83.05,8.8,0.908,2.3,2.29,29.05,28.22,40.05,37.34,52.15,48.25,2.09,2.06,1,93
162,Edmonton Oilers,13-14,16.97,82.14,9,0.901,2.1,2.86,25.69,32.7,35.47,46.41,47.69,62.16,2.11,2.65,0,67
163,Florida Panthers,13-14,10.04,75.95,7.7,0.897,2.11,2.73,28.8,30.71,39.98,41.55,52.15,54.15,2.2,2.35,0,66
164,Los Angeles Kings*,13-14,15.14,83.11,7.6,0.922,2.05,1.61,31.52,24.76,45.87,35.32,61.98,46.03,2.46,1.98,1,100
165,Minnesota Wild*,13-14,17.86,78.8,9.1,0.913,2.01,1.81,25.72,26.46,35.88,37.63,48.23,51.18,1.86,1.83,1,98
166,Montreal Canadiens*,13-14,17.2,85.12,9,0.921,2.15,2.12,27.86,30.4,39.29,42.24,53.21,59.92,2.23,2.4,1,100
167,Nashville Predators,13-14,19.25,80.25,9,0.902,2.27,2.57,28.7,28.59,39.08,39.9,51.24,54.55,2.1,1.96,0,88
168,New Jersey Devils,13-14,19.5,86.36,9,0.907,1.92,2.04,26.38,24.09,36.87,32.08,49.44,41.45,2.2,1.78,0,88
169,New York Islanders,13-14,17.75,78.11,8.5,0.894,2.16,2.65,29.36,29.99,39.96,42.42,54.55,57.92,2.54,2.62,0,79
170,New York Rangers*,13-14,18.18,85.34,7.9,0.921,2.18,2.05,32.55,28.82,44.32,39.94,58.82,53.48,2.56,2.42,1,96
171,Ottawa Senators,13-14,18.45,80.94,8.5,0.909,2.4,2.65,32.7,33.77,46.05,45.33,61.09,56.99,2.34,2.55,0,88
172,Philadelphia Flyers*,13-14,19.73,84.81,9.4,0.909,2.31,2.36,29.02,30.93,40.89,41.86,56.68,56.27,2.21,2.21,1,94
173,Phoenix Coyotes,13-14,19.86,79.04,8.4,0.912,2.1,2.11,29.39,29.6,40.8,40.89,55.23,54.07,2.04,2.29,0,89
174,Pittsburgh Penguins*,13-14,23.38,85.04,9.9,0.913,2.36,2.24,28.67,27.13,38.89,38.95,52.01,53.1,2.07,2,1,109
175,San Jose Sharks*,13-14,17.18,84.93,8.4,0.915,2.42,2.07,33.08,26.98,46.77,37.93,63.45,52.78,2.73,2,1,111
176,St. Louis Blues*,13-14,19.79,85.67,10,0.913,2.48,1.98,29.23,25.56,41.83,35.48,56.17,48.52,2.25,1.91,1,111
177,Tampa Bay Lightning*,13-14,18.52,80.74,9.5,0.913,2.37,1.98,29.92,27.58,42.08,39.46,55.22,52.38,2.19,2.12,1,101
178,Toronto Maple Leafs,13-14,19.84,78.36,9.7,0.914,2.21,2.51,26.59,35.31,36.8,51.2,49.56,67.18,2.01,2.69,0,84
179,Vancouver Canucks,13-14,15.18,83.21,7.6,0.907,2.13,2.19,29.63,28.28,41.95,39.26,56.78,54.15,2.21,2.23,0,83
180,Washington Capitals,13-14,23.37,82.04,9.3,0.917,2.1,2.35,27.12,31.58,38.07,43.04,51.9,57.5,2.08,2.34,0,90
181,Winnipeg Jets,13-14,15.44,83.16,8.7,0.907,2.39,2.47,30.15,29.75,42.12,41.34,56.53,56.59,2.49,2.45,0,84
