Season,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
17-18,Carolina Hurricanes,27,82,36,35,11,83,0.506,225,253,3,3,-0.35,-0.01,5.83,178,204,44,239,18.41,43,191,77.49,3,6,6.2,7.1,2780,8.1,2367,0.893,2
17-18,Chicago Blackhawks,28,82,33,39,10,76,0.463,228,254,1,2,-0.26,0.07,5.88,180,198,43,269,15.99,49,236,79.24,5,7,7.5,8.9,2793,8.2,2697,0.906,2
17-18,Colorado Avalanche*,26.4,82,43,30,9,95,0.579,255,236,2,1,0.28,0.04,5.99,183,178,65,296,21.96,45,269,83.27,7,13,8.9,9.8,2432,10.5,2731,0.914,5
17-18,Columbus Blue Jackets*,26.4,82,45,30,7,97,0.591,236,226,6,4,0.11,-0.04,5.63,193,168,39,227,17.18,51,214,76.17,4,7,6.9,7.3,2761,8.5,2567,0.912,5
17-18,Dallas Stars,28.5,82,42,32,8,92,0.561,231,222,4,3,0.17,0.04,5.52,177,158,47,244,19.26,54,281,80.78,7,10,10.1,9.6,2560,9,2447,0.909,6
17-18,Detroit Red Wings,30.2,82,30,39,13,73,0.445,212,254,5,1,-0.48,-0.01,5.68,162,191,41,234,17.52,58,259,77.61,9,5,8.9,8.3,2490,8.5,2613,0.903,4
17-18,Edmonton Oilers,26.8,82,36,40,6,78,0.476,229,262,5,1,-0.32,0.03,5.99,187,200,31,210,14.76,57,245,76.73,11,5,9.2,7.6,2740,8.4,2634,0.901,1
17-18,Florida Panthers,27.8,82,44,30,8,96,0.585,245,243,3,3,-0.01,-0.04,5.95,188,193,47,249,18.88,45,227,80.18,10,5,11,11.7,2822,8.7,2838,0.914,7
17-18,Los Angeles Kings*,29.1,82,45,29,8,98,0.598,237,202,2,1,0.44,0,5.35,183,159,49,240,20.42,39,260,85,5,4,9,8.3,2544,9.3,2537,0.92,8
17-18,Minnesota Wild*,29.5,82,45,26,11,101,0.616,250,229,3,3,0.29,0.04,5.84,194,172,49,240,20.42,51,272,81.25,7,6,8.3,7.6,2476,10.1,2569,0.911,6
17-18,Montreal Canadiens,27.8,82,29,40,13,71,0.433,207,258,2,6,-0.68,0,5.67,148,184,52,244,21.31,68,263,74.14,7,6,8.6,8.8,2687,7.7,2650,0.903,4
17-18,Nashville Predators*,28.4,82,53,18,11,117,0.713,261,204,6,7,0.71,0.03,5.67,193,145,58,274,21.17,54,299,81.94,10,5,11.3,9.6,2641,9.9,2659,0.923,11
