Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60
Vancouver Canucks*,10-11,82,117,0.713,258,180,24.32,85.58,9.8,0.927,3948.78,2.53,1.96,31.58,28.65,44.01,38.85,59.2,51.58,2.37,2.33
Washington Capitals*,10-11,82,107,0.652,219,191,17.49,85.62,8.5,0.92,3957.87,2.27,2.05,29.77,27.98,41.15,39.2,57.16,54.24,2.33,2.17
Anaheim Ducks,09-10,82,89,0.543,233,243,21,79.26,9.4,0.911,3939.43,2.3,2.26,28.7,31.78,39.68,44.63,50.87,55.74,2.22,2.55
Atlanta Thrashers,09-10,82,83,0.506,230,250,16.14,82.19,9.5,0.908,3856.9,2.52,2.79,28.67,32.65,38.61,43.21,51.7,56.43,2.29,2.67
Boston Bruins*,09-10,82,91,0.555,196,191,16.6,86.4,7.5,0.922,4093.75,2.03,2.12,30.89,28.49,42.15,37.94,56.13,49.97,2.18,2.01
Buffalo Sabres*,09-10,82,100,0.61,231,201,17.57,86.62,8.9,0.922,3943.72,2.45,2.31,31.5,30.48,42.33,41.76,55.22,53.84,2.29,2.34
Calgary Flames,09-10,82,90,0.549,201,203,16.04,82.3,8.6,0.914,3953.78,2.13,2.12,28.3,27.58,40.69,38.65,55.51,50.74,2.06,2
Carolina Hurricanes,09-10,82,80,0.488,226,251,17.02,80.63,9.4,0.902,3835.8,2.3,2.52,28.35,30.8,40.02,44.21,54.83,58.15,2.4,2.78
Chicago Blackhawks*,09-10,82,112,0.683,262,203,17.69,84.96,9.4,0.901,4060.47,2.86,2.24,34.11,23.54,46.07,31.84,60.43,43.68,2.63,1.92
Colorado Avalanche*,09-10,82,95,0.579,237,228,18.06,80.2,10.4,0.913,3944.65,2.41,2.29,27,30.92,36.37,42.32,46.9,57.22,2.15,2.29
Columbus Blue Jackets,09-10,82,79,0.482,214,249,18.18,81.74,9.2,0.901,3872.03,2.11,2.66,27.33,29.65,35.82,40.42,46.62,52.41,1.95,2.17
Dallas Stars,09-10,82,88,0.537,230,244,18.6,77.43,9.1,0.905,3938.92,2.24,2.4,28.66,30.44,39.61,43.28,52.05,56.93,2.11,2.21
Detroit Red Wings*,09-10,82,102,0.622,223,207,19.22,83.9,8.1,0.914,4021.8,2.17,2.35,31.82,28.89,44.42,39.09,58.19,49.73,2.37,2.16
Edmonton Oilers,09-10,82,62,0.378,206,278,17.28,78.03,8.9,0.898,3969.32,2.16,2.93,27.52,32.88,38.07,46.99,49.8,63.03,2.2,2.65
Florida Panthers,09-10,82,77,0.47,202,234,14.24,79.37,8.7,0.916,3982.08,2.14,2.27,27.34,33.59,38.03,45.43,49.81,62.26,2.08,2.48
Los Angeles Kings*,09-10,82,101,0.616,231,211,20.85,80.26,9.7,0.907,3971.18,2.24,2.09,27.85,26.29,39.79,38.15,51.48,50.12,2.19,2.04
Minnesota Wild,09-10,82,84,0.512,214,239,19.09,82.68,9.4,0.901,3931.42,2.15,2.43,26.09,29.25,37.05,40.55,48.73,54.17,2,1.99
Montreal Canadiens*,09-10,82,88,0.537,210,218,21.84,82.96,9,0.917,4036.3,2.08,2.16,27.01,30.95,38.07,43.09,52.58,59.19,2.09,2.37
Nashville Predators*,09-10,82,100,0.61,217,221,16.43,77.13,8.7,0.908,4059.1,2.3,2.18,29.63,28.69,41.77,39.2,54.7,51.39,2.27,2.24
New Jersey Devils*,09-10,82,103,0.628,216,186,18.75,82.92,8.8,0.916,4093.77,2.13,1.96,28.99,26.82,38.91,35.73,50.1,47.62,2.14,2.01
New York Islanders,09-10,82,79,0.482,214,258,16.01,76.33,8.6,0.901,3890.58,2.3,2.65,29.37,31.27,40.4,43.29,54.21,60.45,2.53,2.64
New York Rangers,09-10,82,87,0.53,219,214,18.27,84.28,9,0.913,3921.12,2.29,2.25,29.18,29.52,40.71,40.96,55.09,54.79,2.64,2.75
Ottawa Senators*,09-10,82,94,0.573,220,233,16.9,84.28,9,0.9,3945.13,2.27,2.57,29.09,26.77,40.12,37.08,54.15,51.06,2.38,2.14
