Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60
Dallas Stars*,13-14,82,91,0.555,231,223,15.86,81.37,8.9,0.911,4018.52,2.44,2.33,30.23,29.2,43.1,41.59,57.76,56.22,2.47,2.46
Detroit Red Wings*,13-14,82,93,0.567,217,221,17.73,83.05,8.8,0.908,4011.73,2.3,2.29,29.05,28.22,40.05,37.34,52.15,48.25,2.09,2.06
Edmonton Oilers,13-14,82,67,0.409,199,267,16.97,82.14,9,0.901,3993.93,2.1,2.86,25.69,32.7,35.47,46.41,47.69,62.16,2.11,2.65
Florida Panthers,13-14,82,66,0.402,188,262,10.04,75.95,7.7,0.897,4034.2,2.11,2.73,28.8,30.71,39.98,41.55,52.15,54.15,2.2,2.35
Los Angeles Kings*,13-14,82,100,0.61,198,168,15.14,83.11,7.6,0.922,3959.88,2.05,1.61,31.52,24.76,45.87,35.32,61.98,46.03,2.46,1.98
Minnesota Wild*,13-14,82,98,0.598,199,198,17.86,78.8,9.1,0.913,4099.32,2.01,1.81,25.72,26.46,35.88,37.63,48.23,51.18,1.86,1.83
Montreal Canadiens*,13-14,82,100,0.61,209,201,17.2,85.12,9,0.921,3967.52,2.15,2.12,27.86,30.4,39.29,42.24,53.21,59.92,2.23,2.4
Nashville Predators,13-14,82,88,0.537,214,233,19.25,80.25,9,0.902,4115.42,2.27,2.57,28.7,28.59,39.08,39.9,51.24,54.55,2.1,1.96
New Jersey Devils,13-14,82,88,0.537,197,195,19.5,86.36,9,0.907,4079.33,1.92,2.04,26.38,24.09,36.87,32.08,49.44,41.45,2.2,1.78
New York Islanders,13-14,82,79,0.482,216,261,17.75,78.11,8.5,0.894,4075.57,2.16,2.65,29.36,29.99,39.96,42.42,54.55,57.92,2.54,2.62
New York Rangers*,13-14,82,96,0.585,214,190,18.18,85.34,7.9,0.921,4078.6,2.18,2.05,32.55,28.82,44.32,39.94,58.82,53.48,2.56,2.42
Ottawa Senators,13-14,82,88,0.537,229,258,18.45,80.94,8.5,0.909,3993.3,2.4,2.65,32.7,33.77,46.05,45.33,61.09,56.99,2.34,2.55
Philadelphia Flyers*,13-14,82,94,0.573,233,227,19.73,84.81,9.4,0.909,3891.55,2.31,2.36,29.02,30.93,40.89,41.86,56.68,56.27,2.21,2.21
Phoenix Coyotes,13-14,82,89,0.543,210,224,19.86,79.04,8.4,0.912,4067.85,2.1,2.11,29.39,29.6,40.8,40.89,55.23,54.07,2.04,2.29
Pittsburgh Penguins*,13-14,82,109,0.665,242,204,23.38,85.04,9.9,0.913,4065.25,2.36,2.24,28.67,27.13,38.89,38.95,52.01,53.1,2.07,2
San Jose Sharks*,13-14,82,111,0.677,239,193,17.18,84.93,8.4,0.915,4104.53,2.42,2.07,33.08,26.98,46.77,37.93,63.45,52.78,2.73,2
St. Louis Blues*,13-14,82,111,0.677,239,188,19.79,85.67,10,0.913,4006.88,2.48,1.98,29.23,25.56,41.83,35.48,56.17,48.52,2.25,1.91
Tampa Bay Lightning*,13-14,82,101,0.616,232,209,18.52,80.74,9.5,0.913,4032.6,2.37,1.98,29.92,27.58,42.08,39.46,55.22,52.38,2.19,2.12
Toronto Maple Leafs,13-14,82,84,0.512,222,252,19.84,78.36,9.7,0.914,4074.5,2.21,2.51,26.59,35.31,36.8,51.2,49.56,67.18,2.01,2.69
Vancouver Canucks,13-14,82,83,0.506,191,216,15.18,83.21,7.6,0.907,4056.63,2.13,2.19,29.63,28.28,41.95,39.26,56.78,54.15,2.21,2.23
Washington Capitals,13-14,82,90,0.549,225,229,23.37,82.04,9.3,0.917,4069.07,2.1,2.35,27.12,31.58,38.07,43.04,51.9,57.5,2.08,2.34
Winnipeg Jets,13-14,82,84,0.512,219,231,15.44,83.16,8.7,0.907,4056.68,2.39,2.47,30.15,29.75,42.12,41.34,56.53,56.59,2.49,2.45
Anaheim Ducks*,12-13,48,66,0.688,134,115,21.48,81.48,9.9,0.914,2427.58,2.23,1.88,26.66,26.73,37.27,39.55,50.98,55,2.15,2.18
Boston Bruins*,12-13,48,62,0.646,127,106,14.75,87.12,8.2,0.923,2402.43,2.37,1.91,33.18,27.63,46.25,37.77,63.07,50.64,2.45,2.12
Buffalo Sabres,12-13,48,48,0.5,118,139,14.11,79.21,8.8,0.913,2350.68,2.11,2.32,26.8,32.44,36.03,44.93,48.08,59.56,1.93,2.48
Calgary Flames,12-13,48,42,0.438,128,157,20,81.46,9.9,0.889,2372.72,2.14,3.07,26.54,29.77,36.93,41.99,49.77,56.96,2.22,2.39
Carolina Hurricanes,12-13,48,42,0.438,127,159,14.55,77.64,8.2,0.897,2349.85,2.31,2.84,31.65,31.81,44.65,44.96,60.72,59.31,2.61,2.87
Chicago Blackhawks*,12-13,48,77,0.802,149,97,16.67,87.23,10,0.923,2414.43,2.85,1.74,31.77,24.8,42.49,32.89,57,45.32,2.41,2
Colorado Avalanche,12-13,48,39,0.406,114,150,15,80.33,8.1,0.901,2365.97,2.12,2.64,28.84,30.77,39.25,43.06,52.86,59.29,2.14,2.39
Columbus Blue Jackets,12-13,48,55,0.573,115,115,14.19,82.64,9,0.92,2417.55,2.16,2.04,25.5,29.71,34.39,40.09,48.02,53.17,1.78,2.09
Dallas Stars,12-13,48,48,0.5,128,141,16.96,81.01,10.2,0.905,2300.65,2.49,2.48,26.03,30.06,37.79,42.57,53.23,56.06,2.2,2.55
Detroit Red Wings*,12-13,48,56,0.583,122,110,18.38,81.71,8.4,0.917,2337.13,2.02,1.8,29.77,26.71,41.84,35.71,55.55,47.05,2.28,2.03
Edmonton Oilers,12-13,48,45,0.469,123,131,20.12,83.43,9.6,0.917,2321.97,2.09,2.48,26.32,32.56,36.7,45.3,48.55,61.09,2.13,2.68
Florida Panthers,12-13,48,36,0.375,109,170,20.42,74.17,7.8,0.887,2398.95,1.62,3.08,27.5,31.64,37.92,43.05,50.34,56.42,1.98,2.41
Los Angeles Kings*,12-13,48,59,0.615,131,114,19.88,83.23,9.2,0.905,2373.58,2.25,2.03,30.21,24.07,43.64,33.94,57.88,43.71,2.38,1.87
Minnesota Wild*,12-13,48,55,0.573,118,125,17.88,80.74,8.5,0.904,2389.43,2.09,2.38,27.24,27.01,37.13,38.04,49.99,51.02,2.1,1.93
Montreal Canadiens*,12-13,48,63,0.656,146,124,20.69,79.77,9.9,0.904,2289.03,2.62,2.2,30.08,26.6,42.32,36.32,58.71,50.92,2.3,1.89
Nashville Predators,12-13,48,41,0.427,109,133,17.14,75.54,8.8,0.9,2439.93,1.93,2.17,24.69,27.74,33.98,39.12,45.37,53.88,1.97,1.98
New Jersey Devils,12-13,48,48,0.5,110,122,15.91,81.07,8.1,0.89,2346.82,1.64,1.98,26.43,22.94,37.66,30.73,50.31,40.75,2.15,1.77
New York Islanders*,12-13,48,55,0.573,135,136,19.87,80.28,9.1,0.899,2426.5,2.36,2.48,30.29,27.12,40.99,39.27,56.03,55.24,2.63,2.42
New York Rangers*,12-13,48,56,0.583,126,108,15.69,81.08,8.5,0.92,2395.55,2.33,1.71,31.23,26.93,43.14,38.08,57.98,54.38,2.61,2.31
Ottawa Senators*,12-13,48,56,0.583,112,100,15.92,88.02,7,0.933,2356.32,1.91,1.92,32.74,30.07,45.19,40.77,61.92,53.59,2.39,2.14
Philadelphia Flyers,12-13,48,49,0.51,132,139,21.64,85.87,9.5,0.899,2281.02,2.28,2.62,28.34,28.91,39.19,41.96,53.58,58.12,2.15,2.35
Phoenix Coyotes,12-13,48,51,0.531,121,125,14.79,79.88,8.2,0.915,2371.98,2.22,2.18,31.03,30.2,43.64,42.2,57.62,55.93,2.28,2.35
Pittsburgh Penguins*,12-13,48,72,0.75,162,119,24.71,79.64,11.3,0.915,2333.57,2.88,1.89,30.03,28.79,41.29,39.78,55.46,54.87,2.29,2.08
San Jose Sharks*,12-13,48,57,0.594,116,112,20.12,85.03,7.6,0.919,2415.22,1.92,2.02,30.05,27.9,42.98,39.61,58.72,55.79,2.43,2.1
St. Louis Blues*,12-13,48,60,0.625,124,114,19.46,84.67,9.3,0.902,2396.18,2.26,2.04,27.52,24.06,38.34,34.03,51.6,47.48,2,1.96
Tampa Bay Lightning,12-13,48,40,0.417,147,147,19.02,80.65,11.1,0.899,2341.43,2.73,2.61,27.29,30.54,37.59,43.26,49.66,57.27,2.06,2.2
Toronto Maple Leafs*,12-13,48,57,0.594,145,128,18.67,87.9,11.5,0.917,2345.77,2.75,2.46,26.4,32.38,37.69,46.17,51.99,63.3,2.03,2.4
Vancouver Canucks*,12-13,48,59,0.615,122,115,15.76,84.02,9,0.917,2356.67,2.22,2.08,27.97,28.28,39.21,37.66,53.6,49.09,2.18,2.18
Washington Capitals*,12-13,48,57,0.594,146,130,26.83,77.91,10.8,0.916,2359.03,2.4,2.21,27.92,31,39.06,41.11,53.98,56.48,2.22,2.28
Winnipeg Jets,12-13,48,51,0.531,126,141,13.79,79.71,9.1,0.901,2422.92,2.44,2.53,28.35,29.53,41.14,42.13,56.29,57.45,2.4,2.46
Anaheim Ducks,11-12,82,80,0.488,201,224,16.61,81.98,8.8,0.905,4021.32,2.11,2.4,26.29,28.69,37.99,40.9,50.72,54.78,2.13,2.35
Boston Bruins*,11-12,82,102,0.622,260,199,17.2,83.46,9.8,0.918,4093.9,2.91,2.16,32.43,28.61,44.72,38.29,60.68,50.87,2.34,1.99
Buffalo Sabres,11-12,82,89,0.543,211,223,17.05,81.71,8.8,0.913,4112.8,2.27,2.23,28.28,30.04,38.76,41.78,52.4,54.48,2.11,2.28
Calgary Flames,11-12,82,90,0.549,199,217,17.69,84.33,8.8,0.914,4095.63,2.06,2.22,26.75,30.09,36.84,42.01,50.31,55.5,2.14,2.19
Carolina Hurricanes,11-12,82,82,0.5,212,237,16.67,80.56,8.5,0.911,4059.73,2.09,2.51,29.11,31.77,41.12,44.55,56.01,59.55,2.41,2.71
Chicago Blackhawks*,11-12,82,101,0.616,241,231,15.16,78.11,9.3,0.901,4091.08,2.48,2.49,30.94,27.78,42.27,37.8,56.42,50.24,2.41,2.2
Colorado Avalanche,11-12,82,88,0.537,199,218,18.39,83.03,7.7,0.91,4117.88,2.12,2.19,30.56,29.5,41.39,41.15,56.24,54.25,2.22,2.22
Columbus Blue Jackets,11-12,82,65,0.396,198,257,15.46,76.64,8.1,0.899,3944.93,1.98,2.59,27.59,31.22,37.04,41.4,48.49,54.77,2.01,2.12
