Name,Team,Season,GP,TOI,GF%,SF%,FF%,CF%,xGF%,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,G±/60,S±/60,G±/60,F±/60,xG±/60,Sh%,Sv%
Thrashers,ATL,10-11,82,4067.63,46.74,49.21,49.72,48.61,47.6,2.2,2.5,30.41,31.38,41.65,42.12,55.01,58.16,2.33,2.56,-0.31,-0.97,-0.47,-3.14,-0.23,7.22,92.03
Bruins,BOS,10-11,82,4038.38,58.17,50.61,50.71,51.39,50.38,2.63,1.89,32.61,31.83,44.09,42.86,60.18,56.92,2.36,2.33,0.74,0.78,1.23,3.26,0.04,8.07,94.05
Sabres,BUF,10-11,82,4011.17,52.96,52.14,50.86,50.54,51.06,2.61,2.32,32.37,29.71,42.8,41.35,56.43,55.24,2.37,2.27,0.29,2.66,1.45,1.2,0.1,8.06,92.2
Hurricanes,CAR,10-11,81,3903.65,48.87,47.2,47.17,48.57,47.93,2.43,2.55,29.83,33.37,42.41,47.5,58.92,62.4,2.57,2.79,-0.11,-3.54,-5.09,-3.47,-0.22,8.16,92.37
Blue Jackets,CBJ,10-11,82,3965.03,46.78,50.04,50.24,50.06,50.33,2.23,2.54,29.18,29.14,40.22,39.83,53.39,53.26,2.26,2.23,-0.31,0.04,0.39,0.13,0.03,7.65,91.29
Flames,CGY,10-11,82,3981.43,51.45,51.99,52.35,51.52,54,2.45,2.31,29.57,27.31,41.73,37.99,55.91,52.6,2.24,1.91,0.14,2.26,3.74,3.31,0.33,8.29,91.53
Blackhawks,CHI,10-11,82,4084,53.02,54.22,54.16,53.72,52.3,2.5,2.22,31.94,26.97,43.03,36.43,57.17,49.25,2.37,2.16,0.29,4.97,6.61,7.92,0.21,7.84,91.78
Avalanche,COL,10-11,82,3981.57,45.45,46.93,46.42,45.98,48.78,2.27,2.73,27.9,31.55,38.04,43.9,49.83,58.53,2.25,2.36,-0.46,-3.66,-5.86,-8.71,-0.11,8.15,91.35
Stars,DAL,10-11,82,3963.55,51.09,46.54,47.73,47.81,47.81,2.26,2.16,25.81,29.64,37.78,41.38,50.82,55.46,2.02,2.21,0.1,-3.83,-3.6,-4.65,-0.19,8.75,92.7
Red Wings,DET,10-11,82,3983.2,50.92,51.98,52.79,53.3,51.59,2.63,2.53,32.68,30.2,45.93,41.07,59.42,52.06,2.42,2.27,0.09,2.48,4.85,7.35,0.15,8.04,91.62
Oilers,EDM,10-11,82,3923.35,42.86,45.23,44.77,45.3,43.55,1.99,2.65,25.66,31.07,35.58,43.89,49.01,59.19,2.15,2.78,-0.66,-5.41,-8.32,-10.18,-0.64,7.74,91.48
Panthers,FLA,10-11,82,4026.05,46.85,49.17,49.46,49.75,51.09,2.14,2.43,29.77,30.77,41.25,42.15,55.17,55.72,2.3,2.2,-0.29,-1.01,-0.91,-0.55,0.1,7.2,92.09
Kings,L.A,10-11,82,3989.47,51.85,50.86,51.47,52.12,51.92,2.28,2.12,28.11,27.17,40.96,38.62,55.64,51.12,2.19,2.03,0.16,0.95,2.34,4.52,0.16,8.12,92.2
Wild,MIN,10-11,82,3969.78,45.77,44.48,44.7,44.97,44.77,1.98,2.35,24.99,31.19,35.28,43.64,46.93,57.42,1.83,2.26,-0.37,-6.2,-8.37,-10.49,-0.43,7.93,92.47
Canadiens,MTL,10-11,82,3915.35,51.14,51.58,52.1,51.66,49.73,2.2,2.1,31.48,29.55,43.9,40.37,59.42,55.59,2.34,2.36,0.1,1.93,3.53,3.83,-0.03,6.98,92.89
Devils,N.J,10-11,82,4098.9,45.06,51.7,51.86,51.8,51.58,1.81,2.21,27.76,25.93,37.48,34.79,48.77,45.39,2.01,1.89,-0.4,1.83,2.69,3.38,0.12,6.52,91.49
Predators,NSH,10-11,82,4037.83,53.29,48.95,48.97,49.9,50.48,2.33,2.04,28.74,29.97,38.89,40.52,51.9,52.11,2.24,2.2,0.29,-1.23,-1.63,-0.21,0.04,8.1,93.19
Islanders,NYI,10-11,82,3947.92,44.11,46.62,45.92,45.47,45.79,2.24,2.83,27.74,31.77,38.44,45.28,52.37,62.8,2.43,2.88,-0.6,-4.02,-6.83,-10.43,-0.45,8.06,91.08
Rangers,NYR,10-11,82,3999.18,52.16,49.73,50.11,48.94,53.18,2.31,2.12,28.84,29.15,40.09,39.92,53.27,55.58,2.87,2.52,0.19,-0.31,0.17,-2.31,0.34,8.02,92.72
Senators,OTT,10-11,82,3993.95,40.89,48.89,48.74,49.03,47.87,1.91,2.77,28.74,30.04,39.3,41.33,52.68,54.77,2.18,2.37,-0.85,-1.3,-2.02,-2.09,-0.19,6.66,90.78
Flyers,PHI,10-11,82,3913.78,55.41,51.87,50.91,50.37,51.57,2.78,2.24,32.04,29.73,43.3,41.75,58.13,57.27,2.66,2.5,0.54,2.31,1.54,0.86,0.16,8.67,92.48
Penguins,PIT,10-11,82,3904.48,53.86,53.12,53.09,53.61,51.83,2.34,2.01,31.57,27.86,43.32,38.27,59,51.05,2.25,2.1,0.34,3.71,5.04,7.95,0.16,7.43,92.79
Sharks,S.J,10-11,82,4050.18,54.38,53.95,54.27,54.13,56.38,2.4,2.01,32.33,27.59,45.14,38.03,60.64,51.39,2.68,2.08,0.39,4.74,7.11,9.26,0.61,7.41,92.71
Blues,STL,10-11,82,4013.25,50.13,52.21,52.5,52.24,50.9,2.5,2.49,29.76,27.24,42.26,38.24,56.26,51.44,2.31,2.23,0.01,2.52,4.02,4.83,0.08,8.4,90.87
Lightning,T.B,10-11,82,3928.47,50.18,53.35,53.14,52.12,55.16,2.43,2.41,31.42,27.47,43.3,38.18,57.54,52.85,2.44,1.98,0.02,3.95,5.12,4.69,0.46,7.73,91.23
Maple Leafs,TOR,10-11,82,3936.07,48.42,46.81,46.6,47.1,46.95,2.32,2.47,27.62,31.39,39.33,45.08,55.26,62.05,2.11,2.39,-0.15,-3.77,-5.75,-6.79,-0.27,8.39,92.14
Canucks,VAN,10-11,82,3948.78,56.37,52.44,53.11,53.44,50.39,2.53,1.96,31.58,28.65,44.01,38.85,59.2,51.58,2.37,2.33,0.57,2.94,5.16,7.62,0.04,8.01,93.16
Capitals,WSH,10-11,81,3957.87,52.54,51.55,51.21,51.31,51.83,2.27,2.05,29.77,27.98,41.15,39.2,57.16,54.24,2.33,2.17,0.22,1.8,1.95,2.92,0.16,7.61,92.69
Ducks,ANA,09-10,82,3939.43,50.41,47.45,47.07,47.71,46.54,2.3,2.26,28.7,31.78,39.68,44.63,50.87,55.74,2.22,2.55,0.04,-3.09,-4.94,-4.87,-0.33,8.02,92.88
Coyotes,ARI,09-10,82,3934.4,53.67,52.15,51.7,52.18,51.46,2.32,2,30.52,28,42.57,39.77,55.75,51.1,2.24,2.11,0.32,2.52,2.8,4.65,0.13,7.6,92.85
Thrashers,ATL,09-10,82,3856.9,47.52,46.75,47.19,47.81,46.16,2.52,2.79,28.67,32.65,38.61,43.21,51.7,56.43,2.29,2.67,-0.26,-3.98,-4.6,-4.74,-0.38,8.8,91.47
Bruins,BOS,09-10,82,4093.75,48.95,52.02,52.63,52.9,52.08,2.03,2.12,30.89,28.49,42.15,37.94,56.13,49.97,2.18,2.01,-0.09,2.4,4.22,6.16,0.17,6.57,92.58
Sabres,BUF,09-10,82,3943.72,51.45,50.83,50.34,50.64,49.38,2.45,2.31,31.5,30.48,42.33,41.76,55.22,53.84,2.29,2.34,0.14,1.03,0.57,1.39,-0.06,7.77,92.42
Hurricanes,CAR,09-10,81,3835.8,47.68,47.93,47.51,48.53,46.35,2.3,2.52,28.35,30.8,40.02,44.21,54.83,58.15,2.4,2.78,-0.22,-2.45,-4.2,-3.31,-0.38,8.1,91.82
Blue Jackets,CBJ,09-10,81,3872.03,44.17,47.96,46.99,47.08,47.36,2.11,2.66,27.33,29.65,35.82,40.42,46.62,52.41,1.95,2.17,-0.56,-2.32,-4.59,-5.79,-0.22,7.7,91.03
Flames,CGY,09-10,82,3953.78,50.08,50.64,51.28,52.24,50.76,2.13,2.12,28.3,27.58,40.69,38.65,55.51,50.74,2.06,2,0.01,0.72,2.03,4.77,0.06,7.51,92.32
Blackhawks,CHI,09-10,82,4060.47,56.04,59.17,59.13,58.04,57.76,2.86,2.24,34.11,23.54,46.07,31.84,60.43,43.68,2.63,1.92,0.62,10.57,14.23,16.75,0.71,8.39,90.47
Avalanche,COL,09-10,82,3944.65,51.24,46.62,46.22,45.05,48.42,2.41,2.29,27,30.92,36.37,42.32,46.9,57.22,2.15,2.29,0.12,-3.92,-5.95,-10.32,-0.14,8.91,92.59
