,Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,Playoffs,PTS/82
20,Ottawa Senators,18-19,82,64,0.39,242,301,20.35,79.17,10,0.897,4140.42,2.56,3.28,28.45,35.32,39.29,48.63,52.05,66.26,2.32,2.71,0,64
21,Philadelphia Flyers,18-19,82,82,0.5,241,280,17.09,78.48,9.3,0.895,4074.53,2.54,2.96,29.52,32.7,40.77,44.11,54.8,60.57,2.39,2.54,0,82
22,Pittsburgh Penguins*,18-19,82,100,0.61,271,238,24.56,79.73,9.9,0.913,4148.17,2.73,2.28,33.25,31.89,44.85,43.08,59.54,57.75,2.7,2.46,1,100
23,San Jose Sharks*,18-19,82,101,0.616,289,258,23.65,80.77,10.7,0.889,4107.57,2.97,2.8,32.26,26.97,45.77,37.7,62.46,50.92,2.74,2.35,1,101
24,St. Louis Blues*,18-19,82,99,0.604,244,220,21.1,81.47,9.4,0.906,4115.23,2.58,2.23,31.26,27.6,42.49,38.11,56.75,51.9,2.62,2.21,1,99
25,Tampa Bay Lightning*,18-19,82,128,0.78,319,221,28.24,85.02,12.2,0.916,4040.47,3.24,2.47,32.83,30.37,45.08,41.16,59.93,53.98,2.61,2.3,1,128
26,Toronto Maple Leafs*,18-19,82,100,0.61,286,249,21.8,79.9,10.5,0.908,4160.55,3.13,2.57,32.33,32.98,47.3,46.55,65.11,59.86,2.82,2.63,1,100
27,Vancouver Canucks,18-19,82,81,0.494,219,248,17.13,81.1,9,0.905,4090.13,2.23,2.68,28.22,31.99,39.9,43.93,53.4,59.19,2.18,2.56,0,81
28,Vegas Golden Knights*,18-19,82,93,0.567,246,228,16.81,80.87,8.7,0.905,4093.53,2.62,2.42,33.7,28.42,46.35,38.36,63.24,51.96,2.83,2.28,1,93
29,Washington Capitals*,18-19,82,104,0.634,274,248,20.76,78.93,11,0.904,4043.02,3.01,2.41,30.16,30.73,43,43.5,57.71,57.97,2.45,2.7,1,104
30,Winnipeg Jets*,18-19,82,99,0.604,270,243,24.8,79.2,10.6,0.911,4061.98,2.64,2.48,30.74,32.15,42.27,43.86,56.54,58.1,2.35,2.55,1,99
31,Anaheim Ducks*,17-18,82,101,0.616,231,209,17.76,83.21,9.3,0.923,4078,2.43,2.09,29.81,30.78,42.27,43.85,56.18,58,2.49,2.59,1,101
32,Arizona Coyotes,17-18,82,70,0.427,206,251,16.87,79.46,8.4,0.905,4162.87,2.16,2.48,28.39,31.7,40.33,46.51,55.8,61.33,2.21,2.55,0,70
33,Boston Bruins*,17-18,82,112,0.683,267,211,23.64,83.67,9.9,0.912,4082.03,2.57,2.15,31.98,27.5,44.76,38.48,59.58,51.07,2.5,2.13,1,112
34,Buffalo Sabres,17-18,82,62,0.378,198,278,19.07,77.87,7.7,0.896,4036.23,1.84,2.78,28.98,32.7,38.73,44.66,50.04,58.03,1.97,2.36,0,62
35,Calgary Flames,17-18,82,84,0.512,216,243,15.99,81.78,7.8,0.905,4025.05,2.34,2.52,32.98,30.06,47.86,42.51,63.71,56.31,2.66,2.45,0,84
36,Carolina Hurricanes,17-18,82,83,0.506,225,253,18.41,77.49,8.1,0.893,4196.48,2.34,2.7,32.61,28.74,45.91,40.19,62.62,52.3,2.61,2.35,0,83
37,Chicago Blackhawks,17-18,82,76,0.463,228,254,15.99,79.24,8.2,0.906,4037.48,2.45,2.67,33.42,32.61,44.69,43.57,63.49,58.63,2.58,2.66,0,76
38,Colorado Avalanche*,17-18,82,95,0.579,255,236,21.96,83.27,10.5,0.914,3924.58,2.44,2.39,29.14,32.27,40.05,44.53,55.17,59.94,2.09,2.38,1,95
39,Columbus Blue Jackets*,17-18,82,97,0.591,236,226,17.18,76.17,8.5,0.912,4189.7,2.58,2.23,33.34,30.37,45.72,41.18,59.56,55.86,2.68,2.52,1,97
40,Dallas Stars,17-18,82,92,0.561,231,222,19.26,80.78,9,0.909,4032.67,2.38,2.1,29.79,28.25,41.27,39.23,57.07,54.61,2.45,2.12,0,92
41,Detroit Red Wings,17-18,82,73,0.445,212,254,17.52,77.61,8.5,0.903,4102.82,2.23,2.59,29.42,31.2,41.12,42.48,53.34,56.48,2.31,2.46,0,73
