,Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,Playoffs,PTS/82
258,Nashville Predators*,11-Oct,82,99,0.604,213,190,15.24,84.93,9,0.924,4037.83,2.33,2.04,28.74,29.97,38.89,40.52,51.9,52.11,2.24,2.2,1,99
259,New Jersey Devils,11-Oct,82,81,0.494,171,207,14.35,83.4,7.3,0.904,4098.9,1.81,2.21,27.76,25.93,37.48,34.79,48.77,45.39,2.01,1.89,0,81
260,New York Islanders,11-Oct,82,73,0.445,225,258,17.22,83.23,9.3,0.902,3947.92,2.24,2.83,27.74,31.77,38.44,45.28,52.37,62.8,2.43,2.88,0,73
261,New York Rangers*,11-Oct,82,93,0.567,224,195,16.9,83.66,9.1,0.919,3999.18,2.31,2.12,28.84,29.15,40.09,39.92,53.27,55.58,2.87,2.52,1,93
262,Ottawa Senators,11-Oct,82,74,0.451,190,245,17.51,83.73,8,0.904,3993.95,1.91,2.77,28.74,30.04,39.3,41.33,52.68,54.77,2.18,2.37,0,74
263,Philadelphia Flyers*,11-Oct,82,106,0.646,256,216,16.61,82.75,9.8,0.913,3913.78,2.78,2.24,32.04,29.73,43.3,41.75,58.13,57.27,2.66,2.5,1,106
264,Phoenix Coyotes*,11-Oct,82,99,0.604,226,220,15.92,78.38,9.1,0.918,4002.72,2.36,2.15,30.19,30.68,42.73,43.6,56.75,55.92,2.27,2.42,1,99
265,Pittsburgh Penguins*,11-Oct,82,106,0.646,228,196,15.76,86.11,8.8,0.917,3904.48,2.34,2.01,31.57,27.86,43.32,38.27,59,51.05,2.25,2.1,1,106
266,San Jose Sharks*,11-Oct,82,105,0.64,243,208,23.45,79.49,8.6,0.912,4050.18,2.4,2.01,32.33,27.59,45.14,38.03,60.64,51.39,2.68,2.08,1,105
267,St. Louis Blues,11-Oct,82,87,0.53,236,228,18.64,81.72,9.5,0.9,4013.25,2.5,2.49,29.76,27.24,42.26,38.24,56.26,51.44,2.31,2.23,0,87
268,Tampa Bay Lightning*,11-Oct,82,103,0.628,241,234,20.54,83.77,9.3,0.901,3928.47,2.43,2.41,31.42,27.47,43.3,38.18,57.54,52.85,2.44,1.98,1,103
269,Toronto Maple Leafs,11-Oct,82,85,0.518,213,245,15.95,77.45,9,0.904,3936.07,2.32,2.47,27.62,31.39,39.33,45.08,55.26,62.05,2.11,2.39,0,85
270,Vancouver Canucks*,11-Oct,82,117,0.713,258,180,24.32,85.58,9.8,0.927,3948.78,2.53,1.96,31.58,28.65,44.01,38.85,59.2,51.58,2.37,2.33,1,117
271,Washington Capitals*,11-Oct,82,107,0.652,219,191,17.49,85.62,8.5,0.92,3957.87,2.27,2.05,29.77,27.98,41.15,39.2,57.16,54.24,2.33,2.17,1,107
272,Anaheim Ducks,10-Sep,82,89,0.543,233,243,21,79.26,9.4,0.911,3939.43,2.3,2.26,28.7,31.78,39.68,44.63,50.87,55.74,2.22,2.55,0,89
273,Atlanta Thrashers,10-Sep,82,83,0.506,230,250,16.14,82.19,9.5,0.908,3856.9,2.52,2.79,28.67,32.65,38.61,43.21,51.7,56.43,2.29,2.67,0,83
274,Boston Bruins*,10-Sep,82,91,0.555,196,191,16.6,86.4,7.5,0.922,4093.75,2.03,2.12,30.89,28.49,42.15,37.94,56.13,49.97,2.18,2.01,1,91
275,Buffalo Sabres*,10-Sep,82,100,0.61,231,201,17.57,86.62,8.9,0.922,3943.72,2.45,2.31,31.5,30.48,42.33,41.76,55.22,53.84,2.29,2.34,1,100
276,Calgary Flames,10-Sep,82,90,0.549,201,203,16.04,82.3,8.6,0.914,3953.78,2.13,2.12,28.3,27.58,40.69,38.65,55.51,50.74,2.06,2,0,90
277,Carolina Hurricanes,10-Sep,82,80,0.488,226,251,17.02,80.63,9.4,0.902,3835.8,2.3,2.52,28.35,30.8,40.02,44.21,54.83,58.15,2.4,2.78,0,80
278,Chicago Blackhawks*,10-Sep,82,112,0.683,262,203,17.69,84.96,9.4,0.901,4060.47,2.86,2.24,34.11,23.54,46.07,31.84,60.43,43.68,2.63,1.92,1,112
279,Colorado Avalanche*,10-Sep,82,95,0.579,237,228,18.06,80.2,10.4,0.913,3944.65,2.41,2.29,27,30.92,36.37,42.32,46.9,57.22,2.15,2.29,1,95
280,Columbus Blue Jackets,10-Sep,82,79,0.482,214,249,18.18,81.74,9.2,0.901,3872.03,2.11,2.66,27.33,29.65,35.82,40.42,46.62,52.41,1.95,2.17,0,79
281,Dallas Stars,10-Sep,82,88,0.537,230,244,18.6,77.43,9.1,0.905,3938.92,2.24,2.4,28.66,30.44,39.61,43.28,52.05,56.93,2.11,2.21,0,88
282,Detroit Red Wings*,10-Sep,82,102,0.622,223,207,19.22,83.9,8.1,0.914,4021.8,2.17,2.35,31.82,28.89,44.42,39.09,58.19,49.73,2.37,2.16,1,102
283,Edmonton Oilers,10-Sep,82,62,0.378,206,278,17.28,78.03,8.9,0.898,3969.32,2.16,2.93,27.52,32.88,38.07,46.99,49.8,63.03,2.2,2.65,0,62
284,Florida Panthers,10-Sep,82,77,0.47,202,234,14.24,79.37,8.7,0.916,3982.08,2.14,2.27,27.34,33.59,38.03,45.43,49.81,62.26,2.08,2.48,0,77
285,Los Angeles Kings*,10-Sep,82,101,0.616,231,211,20.85,80.26,9.7,0.907,3971.18,2.24,2.09,27.85,26.29,39.79,38.15,51.48,50.12,2.19,2.04,1,101
286,Minnesota Wild,10-Sep,82,84,0.512,214,239,19.09,82.68,9.4,0.901,3931.42,2.15,2.43,26.09,29.25,37.05,40.55,48.73,54.17,2,1.99,0,84
287,Montreal Canadiens*,10-Sep,82,88,0.537,210,218,21.84,82.96,9,0.917,4036.3,2.08,2.16,27.01,30.95,38.07,43.09,52.58,59.19,2.09,2.37,1,88
288,Nashville Predators*,10-Sep,82,100,0.61,217,221,16.43,77.13,8.7,0.908,4059.1,2.3,2.18,29.63,28.69,41.77,39.2,54.7,51.39,2.27,2.24,1,100
289,New Jersey Devils*,10-Sep,82,103,0.628,216,186,18.75,82.92,8.8,0.916,4093.77,2.13,1.96,28.99,26.82,38.91,35.73,50.1,47.62,2.14,2.01,1,103
290,New York Islanders,10-Sep,82,79,0.482,214,258,16.01,76.33,8.6,0.901,3890.58,2.3,2.65,29.37,31.27,40.4,43.29,54.21,60.45,2.53,2.64,0,79
291,New York Rangers,10-Sep,82,87,0.53,219,214,18.27,84.28,9,0.913,3921.12,2.29,2.25,29.18,29.52,40.71,40.96,55.09,54.79,2.64,2.75,0,87
292,Ottawa Senators*,10-Sep,82,94,0.573,220,233,16.9,84.28,9,0.9,3945.13,2.27,2.57,29.09,26.77,40.12,37.08,54.15,51.06,2.38,2.14,1,94
293,Philadelphia Flyers*,10-Sep,82,88,0.537,232,222,21.38,82.93,9,0.905,3854.13,2.33,2.32,30.9,28.74,43,39.6,57.39,54.45,2.69,2.37,1,88
294,Phoenix Coyotes*,10-Sep,82,107,0.652,211,196,14.65,84.54,8.4,0.919,3934.4,2.32,2,30.52,28,42.57,39.77,55.75,51.1,2.24,2.11,1,107
295,Pittsburgh Penguins*,10-Sep,82,101,0.616,249,235,17.18,84.1,9.3,0.9,3822.28,2.74,2.52,32.2,27.91,44.77,39.9,59.05,53.89,2.54,2.23,1,101
296,San Jose Sharks*,10-Sep,82,113,0.689,257,209,21.04,84.88,9.9,0.919,3889.45,2.63,2.2,30.35,30.01,42.85,41.57,57.38,53.88,2.53,2.36,1,113
297,St. Louis Blues,10-Sep,82,90,0.549,218,218,17.21,86.84,8.9,0.912,3852.92,2.36,2.36,29.36,29.04,41.12,40.59,53.94,52.33,2.3,2.4,0,90
298,Tampa Bay Lightning,10-Sep,82,80,0.488,213,253,19.33,80.06,9,0.902,3879.98,2.17,2.61,27.48,30.53,37.72,42.09,49.2,55.61,2.19,2.38,0,80
299,Toronto Maple Leafs,10-Sep,82,74,0.451,210,263,13.97,74.65,7.9,0.892,3966.15,2.34,2.58,31.62,29.33,44.83,41.62,61.2,57.13,2.55,2.29,0,74
300,Vancouver Canucks*,10-Sep,82,103,0.628,268,218,21.05,81.56,10.6,0.91,3884.75,2.75,2.18,30.05,28.6,41.7,39.31,54.92,50.64,2.32,2.25,1,103
301,Washington Capitals*,10-Sep,82,121,0.738,313,227,25.24,78.8,11.6,0.91,3963.48,3.24,2.17,32.34,29.33,44.63,40.43,62.74,53.66,2.59,2.37,1,121
302,Anaheim Ducks*,9-Aug,82,91,0.555,238,235,23.62,79.74,9.6,0.906,3799.63,2.39,2.15,28.55,28.31,40.18,39.3,50.57,48.34,2.23,2.14,1,91
303,Atlanta Thrashers,9-Aug,82,76,0.463,250,279,19.33,75.96,10.8,0.896,3773.65,2.44,2.71,26.82,32.3,36.9,43.37,47.84,56.74,2.28,2.66,0,76
304,Boston Bruins*,9-Aug,82,116,0.707,270,190,23.64,82.35,10.9,0.925,3889.17,2.64,1.81,29.68,29.18,40.86,38.73,54.33,50.8,2.32,2.21,1,116
305,Buffalo Sabres,9-Aug,82,91,0.555,242,229,20.95,81.85,9.7,0.911,3840.05,2.43,2.39,30.47,30.14,40.73,41.03,52.96,53.84,2.13,2.06,0,91
306,Calgary Flames*,9-Aug,82,98,0.598,251,246,17.04,83.38,9.5,0.899,3693.57,2.71,2.55,32.44,28.18,45.23,39.07,60.5,48.09,2.49,2.17,1,98
307,Carolina Hurricanes*,9-Aug,82,97,0.591,236,221,18.72,80.4,8.8,0.909,3835.7,2.32,2.19,32.24,28.85,45.25,40.97,60.22,55.21,2.52,2.4,1,97
308,Chicago Blackhawks*,9-Aug,82,104,0.634,260,209,19.28,80.61,9.7,0.911,3830.15,2.55,2.03,32.67,26.85,43.43,34.74,54.9,43.28,2.4,2.03,1,104
309,Colorado Avalanche,9-Aug,82,69,0.421,190,253,15.72,79.87,8.1,0.894,3900.4,1.98,2.63,27.47,28.9,37.08,41.55,48.67,57.68,1.97,2.07,0,69
310,Columbus Blue Jackets*,9-Aug,82,92,0.561,220,223,12.73,82.08,9.3,0.902,3880.12,2.5,2.18,28.4,26.19,38.4,35.46,50.19,46.97,2.06,1.91,1,92
311,Dallas Stars,9-Aug,82,83,0.506,224,251,15.38,78.59,9.5,0.891,3840.48,2.45,2.56,27.65,28,39.59,39.04,50.62,51,2.05,2.13,0,83
312,Detroit Red Wings*,9-Aug,82,112,0.683,289,240,25.5,78.29,9.7,0.894,3821.82,2.78,2.36,34.91,26.5,47.01,35.8,60.84,43.87,2.28,1.98,1,112
313,Edmonton Oilers,9-Aug,82,85,0.518,228,244,16.95,77.51,9.9,0.909,3805.68,2.4,2.36,27.5,31.43,38.28,43.69,51.13,57.49,2.26,2.46,0,85
314,Florida Panthers,9-Aug,82,93,0.567,231,223,16.56,82.64,9.6,0.922,3904.92,2.43,2.31,28.76,34.21,39.38,46.32,52.09,59.06,2.26,2.46,0,93
315,Los Angeles Kings,9-Aug,82,79,0.482,202,226,19.17,82.83,8.5,0.902,3769.95,1.89,2.26,27.86,27.8,40.51,39.51,53.06,51.9,2.22,2.1,0,79
316,Minnesota Wild,9-Aug,82,89,0.543,214,197,20.12,87.63,9.5,0.922,3901.67,1.97,2.25,26.11,29.67,36.71,40.89,48.2,53.81,1.78,1.98,0,89
317,Montreal Canadiens*,9-Aug,82,93,0.567,242,240,19.25,82.43,9.8,0.908,3794.8,2.42,2.44,28.82,31.6,39.3,43.39,54.15,58.96,2.32,2.52,1,93
318,Nashville Predators,9-Aug,82,88,0.537,207,228,15.72,82.54,8.7,0.905,3863.32,2.15,2.26,28.22,29.6,39.06,41.01,50.45,52.7,2.13,2.37,0,88
319,New Jersey Devils*,9-Aug,82,106,0.646,238,207,18.89,79.94,8.8,0.914,3917.52,2.37,1.91,31.68,28.28,42.6,37.66,55.62,49.13,2.3,2,1,106
320,New York Islanders,9-Aug,82,61,0.372,198,274,16.88,79.78,8.3,0.9,3816.1,1.93,2.8,28.14,33.09,37.91,46.31,52.6,64.09,2.22,2.65,0,61
321,New York Rangers*,9-Aug,82,95,0.579,200,212,13.87,87.84,7.5,0.913,3853.03,2.07,2.34,32,28.99,44.43,40.05,58.73,51.98,2.72,2.69,1,95
322,Ottawa Senators,9-Aug,82,83,0.506,213,231,19.47,81.5,8.9,0.901,3830.87,2.06,2.29,27.88,28.16,37.91,38.74,50.59,52.52,2.09,2.14,0,83
